ID ;petalwidth;class
1;0,2;Iris-setosa
2;0,2;Iris-setosa
3;0,2;Iris-setosa
4;0,2;Iris-setosa
5;0,2;Iris-setosa
6;0,4;Iris-setosa
7;0,3;Iris-setosa
8;0,2;Iris-setosa
9;0,2;Iris-setosa
10;0,1;Iris-setosa
11;0,2;Iris-setosa
12;0,2;Iris-setosa
13;0,1;Iris-setosa
14;0,1;Iris-setosa
15;0,2;Iris-setosa
16;0,4;Iris-setosa
17;0,4;Iris-setosa
18;0,3;Iris-setosa
19;0,3;Iris-setosa
20;0,3;Iris-setosa
21;0,2;Iris-setosa
22;0,4;Iris-setosa
23;0,2;Iris-setosa
24;0,5;Iris-setosa
25;0,2;Iris-setosa
26;0,2;Iris-setosa
27;0,4;Iris-setosa
28;0,2;Iris-setosa
29;0,2;Iris-setosa
30;0,2;Iris-setosa
31;0,2;Iris-setosa
32;0,4;Iris-setosa
33;0,1;Iris-setosa
34;0,2;Iris-setosa
35;0,1;Iris-setosa
36;0,2;Iris-setosa
37;0,2;Iris-setosa
38;0,1;Iris-setosa
39;0,2;Iris-setosa
40;0,2;Iris-setosa
41;0,3;Iris-setosa
42;0,3;Iris-setosa
43;0,2;Iris-setosa
44;0,6;Iris-setosa
45;0,4;Iris-setosa
46;0,3;Iris-setosa
47;0,2;Iris-setosa
48;0,2;Iris-setosa
49;0,2;Iris-setosa
50;0,2;Iris-setosa
51;1,4;Iris-versicolor
52;1,5;Iris-versicolor
53;1,5;Iris-versicolor
54;1,3;Iris-versicolor
55;1,5;Iris-versicolor
56;1,3;Iris-versicolor
57;1,6;Iris-versicolor
58;1;Iris-versicolor
59;1,3;Iris-versicolor
60;1,4;Iris-versicolor
61;1;Iris-versicolor
62;1,5;Iris-versicolor
63;1;Iris-versicolor
64;1,4;Iris-versicolor
65;1,3;Iris-versicolor
66;1,4;Iris-versicolor
67;1,5;Iris-versicolor
68;1;Iris-versicolor
69;1,5;Iris-versicolor
70;1,1;Iris-versicolor
71;1,8;Iris-versicolor
72;1,3;Iris-versicolor
73;1,5;Iris-versicolor
74;1,2;Iris-versicolor
75;1,3;Iris-versicolor
76;1,4;Iris-versicolor
77;1,4;Iris-versicolor
78;1,7;Iris-versicolor
79;1,5;Iris-versicolor
80;1;Iris-versicolor
81;1,1;Iris-versicolor
82;1;Iris-versicolor
83;1,2;Iris-versicolor
84;1,6;Iris-versicolor
85;1,5;Iris-versicolor
86;1,6;Iris-versicolor
87;1,5;Iris-versicolor
88;1,3;Iris-versicolor
89;1,3;Iris-versicolor
90;1,3;Iris-versicolor
91;1,2;Iris-versicolor
92;1,4;Iris-versicolor
93;1,2;Iris-versicolor
94;1;Iris-versicolor
95;1,3;Iris-versicolor
96;1,2;Iris-versicolor
97;1,3;Iris-versicolor
98;1,3;Iris-versicolor
99;1,1;Iris-versicolor
100;1,3;Iris-versicolor
101;2,5;Iris-virginica
102;1,9;Iris-virginica
103;2,1;Iris-virginica
104;1,8;Iris-virginica
105;2,2;Iris-virginica
106;2,1;Iris-virginica
107;1,7;Iris-virginica
108;1,8;Iris-virginica
109;1,8;Iris-virginica
110;2,5;Iris-virginica
111;2;Iris-virginica
112;1,9;Iris-virginica
113;2,1;Iris-virginica
114;2;Iris-virginica
115;2,4;Iris-virginica
116;2,3;Iris-virginica
117;1,8;Iris-virginica
118;2,2;Iris-virginica
119;2,3;Iris-virginica
120;1,5;Iris-virginica
121;2,3;Iris-virginica
122;2;Iris-virginica
123;2;Iris-virginica
124;1,8;Iris-virginica
125;2,1;Iris-virginica
126;1,8;Iris-virginica
127;1,8;Iris-virginica
128;1,8;Iris-virginica
129;2,1;Iris-virginica
130;1,6;Iris-virginica
131;1,9;Iris-virginica
132;2;Iris-virginica
133;2,2;Iris-virginica
134;1,5;Iris-virginica
135;1,4;Iris-virginica
136;2,3;Iris-virginica
137;2,4;Iris-virginica
138;1,8;Iris-virginica
139;1,8;Iris-virginica
140;2,1;Iris-virginica
141;2,4;Iris-virginica
142;2,3;Iris-virginica
143;1,9;Iris-virginica
144;2,3;Iris-virginica
145;2,5;Iris-virginica
146;2,3;Iris-virginica
147;1,9;Iris-virginica
148;2;Iris-virginica
149;2,3;Iris-virginica
150;1,8;Iris-virginica
